FFT-Momentaufnahme #1	FFT-Momentaufnahme #1	reibung	reibung	reibung	reibung	reibung	reibung	reibung	reibung	reibung	reibung	reibung
		188.680				-0.027	-17.436	-156.098	-6.3750E-4	-0.416	-3.727	
		188.700	98.03	99.25	-1.21	-0.405	-19.242	-15.708	-0.0097	-0.459	-0.375	24.9
		188.720				-0.796	-18.064	126.646	-0.0190	-0.431	3.023	
		188.740				-1.128	-14.176	234.638	-0.0269	-0.338	5.602	
		188.750	97.98	99.25	-1.26							
		188.760				-1.363	-8.679	298.452	-0.0326	-0.207	7.125	
		188.780				-1.475	-2.238	329.867	-0.0352	-0.053	7.875	
		188.800	98.97	99.25	-0.28	-1.453	4.516	326.922	-0.0347	0.108	7.805	24.9
		188.820				-1.294	10.839	281.762	-0.0309	0.259	6.727	
		188.840				-1.019	15.787	194.386	-0.0243	0.377	4.641	
		188.850	99.75	99.25	0.49							
		188.860				-0.663	18.614	75.595	-0.0158	0.444	1.805	
		188.880				-0.275	18.810	-60.868	-0.0066	0.449	-1.453	
		188.900	100.62	99.25	1.37	0.090	16.179	-199.295	0.0021	0.386	-4.758	24.9
		188.920				0.372	10.839	-307.287	0.0089	0.259	-7.336	
		188.940				0.523	3.888	-365.210	0.0125	0.093	-8.719	
		188.950	99.53	99.25	0.28							
		188.960				0.528	-3.770	-372.083	0.0126	-0.090	-8.883	
		188.980				0.372	-10.996	-314.160	0.0089	-0.262	-7.500	
		189.000	98.44	99.25	-0.81	0.088	-16.336	-199.295	0.0021	-0.390	-4.758	24.9
		189.020				-0.281	-18.967	-57.923	-0.0067	-0.453	-1.383	
		189.040				-0.671	-18.653	81.485	-0.0160	-0.445	1.945	
		189.050	97.91	99.25	-1.34							
		189.060				-1.027	-15.708	201.258	-0.0245	-0.375	4.805	
		189.080				-1.299	-10.603	282.744	-0.0310	-0.253	6.750	
		189.100	98.42	99.25	-0.84	-1.451	-4.398	321.032	-0.0347	-0.105	7.664	24.9
		189.120				-1.475	2.238	328.886	-0.0352	0.053	7.852	
		189.140				-1.362	8.757	301.397	-0.0325	0.209	7.195	
		189.150	99.14	99.26	-0.11							
		189.160				-1.125	14.294	229.729	-0.0269	0.341	5.484	
		189.180				-0.790	17.946	118.792	-0.0189	0.428	2.836	
		189.200	100.53	99.25	1.28	-0.407	19.046	-14.726	-0.0097	0.455	-0.352	24.9
		189.220				-0.028	17.357	-154.135	-6.7500E-4	0.414	-3.680	
		189.240				0.287	12.881	-274.890	0.0069	0.308	-6.562	
		189.250	100.36	99.25	1.10							
		189.260				0.487	6.362	-351.466	0.0116	0.152	-8.391	
		189.280				0.542	-1.178	-378.955	0.0129	-0.028	-9.047	
		189.300	99.00	99.25	-0.25	0.440	-8.796	-342.630	0.0105	-0.210	-8.180	24.9
		189.320				0.190	-14.883	-241.510	0.0045	-0.355	-5.766	
		189.340				-0.156	-18.457	-106.029	-0.0037	-0.441	-2.531	
		189.350	98.17	99.25	-1.08							
		189.360				-0.548	-19.124	38.288	-0.0131	-0.457	0.914	
		189.380				-0.920	-16.925	167.879	-0.0220	-0.404	4.008	
		189.400	98.00	99.25	-1.25	-1.225	-12.409	262.127	-0.0293	-0.296	6.258	24.9
		189.420				-1.417	-6.440	312.196	-0.0338	-0.154	7.453	
		189.440				-1.483	0.079	327.904	-0.0354	0.002	7.828	
		189.450	98.72	99.25	-0.54							
		189.460				-1.414	6.676	312.196	-0.0338	0.159	7.453	
		189.480				-1.216	12.566	257.218	-0.0290	0.300	6.141	
		189.500	99.76	99.25	0.51	-0.911	16.965	160.025	-0.0218	0.405	3.820	24.9
		189.520				-0.537	18.967	30.434	-0.0128	0.453	0.727	
		189.540				-0.152	18.182	-107.011	-0.0036	0.434	-2.555	
		189.550	100.62	99.25	1.37							
		189.560				0.190	14.687	-234.638	0.0045	0.351	-5.602	
		189.580				0.435	8.796	-330.849	0.0104	0.210	-7.898	
		189.600	99.53	99.25	0.28	0.542	1.453	-376.010	0.0129	0.035	-8.977	24.9
		189.620				0.493	-6.244	-362.265	0.0118	-0.149	-8.648	
		189.640				0.292	-13.038	-283.725	0.0070	-0.311	-6.773	
		189.650	98.43	99.25	-0.82							
		189.660				-0.028	-17.593	-156.098	-6.7500E-4	-0.420	-3.727	
		189.680				-0.412	-19.282	-11.781	-0.0098	-0.460	-0.281	
		189.700	97.89	99.25	-1.36	-0.800	-18.064	127.627	-0.0191	-0.431	3.047	24.9
		189.720				-1.134	-14.176	237.583	-0.0271	-0.338	5.672	
		189.740				-1.367	-8.561	302.379	-0.0326	-0.204	7.219	
		189.750	98.44	99.26	-0.81							
		189.760				-1.477	-2.081	330.849	-0.0353	-0.050	7.898	
		189.780				-1.450	4.673	325.940	-0.0346	0.112	7.781	
		189.800	99.15	99.25	-0.10	-1.290	10.956	278.817	-0.0308	0.262	6.656	24.9
		189.820				-1.012	15.826	190.459	-0.0242	0.378	4.547	
		189.840				-0.657	18.575	72.649	-0.0157	0.443	1.734	
		189.850	100.54	99.25	1.29							
		189.860				-0.269	18.732	-63.814	-0.0064	0.447	-1.523	
		189.880				0.093	16.022	-199.295	0.0022	0.382	-4.758	
		189.900	100.32	99.25	1.07	0.372	10.760	-305.324	0.0089	0.257	-7.289	24.9
		189.920				0.523	3.809	-364.229	0.0125	0.091	-8.695	
		189.940				0.525	-3.809	-370.119	0.0125	-0.091	-8.836	
		189.950	99.00	99.25	-0.25							
		189.960				0.371	-10.996	-314.159	0.0088	-0.262	-7.500	
		189.980				0.085	-16.376	-201.258	0.0020	-0.391	-4.805	
		190.000	98.16	99.25	-1.09	-0.284	-19.046	-59.887	-0.0068	-0.455	-1.430	24.9
		190.020				-0.677	-18.771	84.430	-0.0162	-0.448	2.016	
		190.040				-1.035	-15.669	206.167	-0.0247	-0.374	4.922	
		190.050	97.99	99.25	-1.26							
		190.060				-1.304	-10.524	285.689	-0.0311	-0.251	6.820	
		190.080				-1.456	-4.241	326.922	-0.0348	-0.101	7.805	
		190.100	98.74	99.25	-0.51	-1.473	2.553	331.831	-0.0352	0.061	7.922	24.9
		190.120				-1.354	9.032	296.488	-0.0323	0.216	7.078	
		190.140				-1.112	14.412	222.857	-0.0266	0.344	5.320	
		190.150	99.80	99.25	0.55							
		190.160				-0.778	17.946	114.865	-0.0186	0.428	2.742	
		190.180				-0.394	19.007	-17.671	-0.0094	0.454	-0.422	
		190.200	100.69	99.25	1.44	-0.017	17.240	-157.080	-4.1250E-4	0.412	-3.750	24.9
		190.220				0.295	12.723	-276.853	0.0070	0.304	-6.609	
		190.240				0.492	6.165	-350.484	0.0117	0.147	-8.367	
		190.250	99.49	99.25	0.23							
		190.260				0.542	-1.296	-374.046	0.0129	-0.031	-8.930	
		190.280				0.440	-8.796	-339.685	0.0105	-0.210	-8.109	
		190.300	98.72	99.25	-0.53	0.190	-14.883	-240.528	0.0045	-0.355	-5.742	24.9
		190.320				-0.156	-18.418	-107.011	-0.0037	-0.440	-2.555	
		190.340				-0.547	-19.164	36.325	-0.0131	-0.458	0.867	
		190.350	97.90	99.25	-1.35							
		190.360				-0.922	-16.965	168.861	-0.0220	-0.405	4.031	
		190.380				-1.225	-12.409	264.090	-0.0293	-0.296	6.305	
		190.400	98.20	99.25	-1.05	-1.418	-6.401	315.141	-0.0339	-0.153	7.523	24.9
		190.420				-1.481	0.196	330.849	-0.0354	0.005	7.898	
		190.440				-1.411	6.833	316.123	-0.0337	0.163	7.547	
		190.450	99.16	99.25	-0.10							
		190.460				-1.208	12.841	257.218	-0.0288	0.307	6.141	
		190.480				-0.897	17.122	155.116	-0.0214	0.409	3.703	
		190.500	100.19	99.25	0.94	-0.523	19.046	27.489	-0.0125	0.455	0.656	24.9
		190.520				-0.135	18.221	-114.865	-0.0032	0.435	-2.742	
		190.540				0.206	14.451	-245.437	0.0049	0.345	-5.859	
		190.550	100.30	99.25	1.05							
		190.560				0.443	8.404	-333.794	0.0106	0.201	-7.969	
		190.580				0.542	1.100	-374.046	0.0129	0.026	-8.930	
		190.600	99.14	99.25	-0.11	0.487	-6.558	-357.356	0.0116	-0.157	-8.531	24.9
		190.620				0.280	-13.195	-275.871	0.0067	-0.315	-6.586	
		190.640				-0.041	-17.593	-150.208	-9.7500E-4	-0.420	-3.586	
		190.650	98.15	99.25	-1.11							
		190.660				-0.424	-19.203	-7.854	-0.0101	-0.458	-0.188	
		190.680				-0.809	-17.907	128.609	-0.0193	-0.428	3.070	
		190.700	97.90	99.26	-1.36	-1.140	-14.059	237.583	-0.0272	-0.336	5.672	24.9
		190.720				-1.371	-8.404	303.360	-0.0327	-0.201	7.242	
		190.740				-1.477	-1.924	330.849	-0.0353	-0.046	7.898	
		190.750	98.76	99.25	-0.49							
		190.760				-1.448	4.830	324.959	-0.0346	0.115	7.758	
		190.780				-1.283	11.074	277.835	-0.0306	0.264	6.633	
		190.800	99.45	99.26	0.19	-1.005	15.944	190.459	-0.0240	0.381	4.547	24.9
		190.820				-0.646	18.692	69.704	-0.0154	0.446	1.664	
		190.840				-0.258	18.732	-67.741	-0.0062	0.447	-1.617	
		190.850	100.70	99.25	1.45							
		190.860				0.104	15.983	-204.204	0.0025	0.382	-4.875	
		190.880				0.382	10.564	-311.214	0.0091	0.252	-7.430	
		190.900	99.87	99.25	0.61	0.526	3.534	-368.156	0.0126	0.084	-8.789	24.9
		190.920				0.523	-4.163	-371.101	0.0125	-0.099	-8.859	
		190.940				0.360	-11.310	-310.233	0.0086	-0.270	-7.406	
		190.950	98.69	99.25	-0.56							
		190.960				0.071	-16.572	-194.386	0.0017	-0.396	-4.641	
		190.980				-0.303	-19.085	-51.051	-0.0072	-0.456	-1.219	
		191.000	97.90	99.25	-1.35	-0.693	-18.614	90.321	-0.0165	-0.444	2.156	24.9
		191.020				-1.048	-15.472	208.131	-0.0250	-0.369	4.969	
		191.040				-1.312	-10.289	286.671	-0.0313	-0.246	6.844	
		191.050	98.22	99.25	-1.03							
		191.060				-1.459	-4.006	325.940	-0.0348	-0.096	7.781	
		191.080				-1.472	2.749	330.849	-0.0351	0.066	7.898	
		191.100	99.17	99.25	-0.08	-1.349	9.228	296.488	-0.0322	0.220	7.078	24.9
		191.120				-1.103	14.608	219.912	-0.0263	0.349	5.250	
		191.140				-0.765	18.025	109.956	-0.0183	0.430	2.625	
		191.150	100.22	99.25	0.96							
		191.160				-0.382	19.007	-21.598	-0.0091	0.454	-0.516	
		191.180				-0.005	17.161	-162.970	-1.1250E-4	0.410	-3.891	
		191.200	100.26	99.25	1.01	0.305	12.488	-280.780	0.0073	0.298	-6.703	24.9
		191.220				0.495	5.930	-353.429	0.0118	0.142	-8.438	
		191.240				0.542	-1.649	-378.955	0.0129	-0.039	-9.047	
		191.250	99.12	99.25	-0.13							
		191.260				0.429	-9.228	-338.703	0.0102	-0.220	-8.086	
		191.280				0.173	-15.197	-235.620	0.0041	-0.363	-5.625	
		191.300	98.12	99.25	-1.13	-0.179	-18.653	-99.157	-0.0043	-0.445	-2.367	24.9
		191.320				-0.573	-19.164	48.106	-0.0137	-0.457	1.148	
		191.340				-0.946	-16.729	177.696	-0.0226	-0.399	4.242	
		191.350	97.92	99.25	-1.33							
		191.360				-1.243	-12.056	268.999	-0.0297	-0.288	6.422	
		191.380				-1.428	-5.969	319.068	-0.0341	-0.143	7.617	
		191.400	98.80	99.25	-0.46	-1.481	0.707	330.849	-0.0354	0.017	7.898	24.9
		191.420				-1.400	7.265	309.251	-0.0334	0.173	7.383	
		191.440				-1.191	13.077	250.346	-0.0284	0.312	5.977	
		191.450	99.49	99.25	0.24							
		191.460				-0.877	17.279	149.226	-0.0209	0.412	3.562	
		191.480				-0.500	19.046	17.671	-0.0119	0.455	0.422	
		191.500	100.69	99.25	1.44	-0.115	17.986	-121.737	-0.0027	0.429	-2.906	24.9
		191.520				0.220	14.176	-248.382	0.0052	0.338	-5.930	
		191.540				0.452	8.050	-335.758	0.0108	0.192	-8.016	
		191.550	99.83	99.25	0.58							
		191.560				0.542	0.746	-371.101	0.0129	0.018	-8.859	
		191.580				0.482	-6.794	-356.375	0.0115	-0.162	-8.508	
		191.600	98.66	99.25	-0.59	0.270	-13.509	-273.908	0.0064	-0.323	-6.539	24.9
		191.620				-0.058	-17.750	-143.335	-0.0014	-0.424	-3.422	
		191.640				-0.440	-19.242	-2.945	-0.0105	-0.459	-0.070	
		191.650	97.96	99.25	-1.29							
		191.660				-0.828	-17.868	135.481	-0.0198	-0.427	3.234	
		191.680				-1.155	-13.823	244.455	-0.0276	-0.330	5.836	
		191.700	98.25	99.25	-1.00	-1.381	-8.090	306.306	-0.0330	-0.193	7.312	24.9
		191.720				-1.478	-1.571	331.831	-0.0353	-0.037	7.922	
		191.740				-1.444	5.184	324.959	-0.0345	0.124	7.758	
		191.750	99.05	99.25	-0.20							
		191.760				-1.271	11.428	274.890	-0.0303	0.273	6.563	
		191.780				-0.986	16.179	184.569	-0.0236	0.386	4.406	
		191.800	100.23	99.26	0.98	-0.624	18.810	61.850	-0.0149	0.449	1.477	24.9
		191.820				-0.234	18.653	-78.540	-0.0056	0.445	-1.875	
		191.840				0.123	15.669	-212.058	0.0029	0.374	-5.062	
		191.850	100.54	99.25	1.29							
		191.860				0.393	10.171	-313.178	0.0094	0.243	-7.477	
		191.880				0.529	3.142	-366.192	0.0126	0.075	-8.742	
		191.900	99.10	99.25	-0.15	0.518	-4.477	-368.156	0.0124	-0.107	-8.789	24.9
		191.920				0.350	-11.585	-304.342	0.0084	-0.277	-7.266	
		191.940				0.055	-16.650	-186.532	0.0013	-0.398	-4.453	
		191.950	98.34	99.25	-0.91							
		191.960				-0.316	-19.046	-48.106	-0.0075	-0.455	-1.148	
		191.980				-0.707	-18.575	92.284	-0.0169	-0.443	2.203	
		192.000	97.92	99.25	-1.33	-1.059	-15.355	213.039	-0.0253	-0.367	5.086	24.9
		192.020				-1.321	-10.053	290.598	-0.0315	-0.240	6.937	
		192.040				-1.461	-3.731	325.940	-0.0349	-0.089	7.781	
		192.050	98.53	99.25	-0.73							
		192.060				-1.470	2.985	331.831	-0.0351	0.071	7.922	
		192.080				-1.341	9.543	297.470	-0.0320	0.228	7.102	
		192.100	99.52	99.25	0.27	-1.089	14.883	216.966	-0.0260	0.355	5.180	24.9
		192.120				-0.746	18.221	103.084	-0.0178	0.435	2.461	
		192.140				-0.360	19.007	-31.416	-0.0086	0.454	-0.750	
		192.150	100.60	99.25	1.35							
		192.160				0.014	16.965	-170.824	3.3750E-4	0.405	-4.078	
		192.180				0.319	12.174	-285.689	0.0076	0.291	-6.820	
		192.200	99.78	99.25	0.52	0.501	5.537	-356.375	0.0120	0.132	-8.508	24.9
		192.220				0.540	-2.081	-376.010	0.0129	-0.050	-8.977	
		192.240				0.418	-9.503	-330.849	0.0100	-0.227	-7.898	
		192.250	98.92	99.25	-0.33							
		192.260				0.160	-15.315	-229.729	0.0038	-0.366	-5.484	
		192.280				-0.195	-18.692	-92.284	-0.0047	-0.446	-2.203	
		192.300	97.95	99.25	-1.30	-0.587	-19.007	53.014	-0.0140	-0.454	1.266	24.9
		192.320				-0.955	-16.572	177.696	-0.0228	-0.396	4.242	
		192.340				-1.250	-11.899	268.999	-0.0299	-0.284	6.422	
		192.350	98.06	99.25	-1.19							
		192.360				-1.431	-5.812	319.068	-0.0342	-0.139	7.617	
		192.380				-1.483	0.864	332.813	-0.0354	0.021	7.945	
		192.400	99.06	99.25	-0.19	-1.396	7.501	308.269	-0.0333	0.179	7.359	24.9
		192.420				-1.183	13.195	245.437	-0.0282	0.315	5.859	
		192.440				-0.869	17.318	147.262	-0.0207	0.413	3.516	
		192.450	99.92	99.25	0.66							
		192.460				-0.490	19.085	15.708	-0.0117	0.456	0.375	
		192.480				-0.105	17.946	-125.664	-0.0025	0.428	-3.000	
		192.500	100.54	99.25	1.29	0.228	14.059	-251.328	0.0054	0.336	-6.000	24.9
		192.520				0.457	7.893	-339.685	0.0109	0.188	-8.109	
		192.540				0.543	0.471	-376.010	0.0130	0.011	-8.977	
		192.550	99.08	99.25	-0.16							
		192.560				0.476	-7.147	-355.393	0.0114	-0.171	-8.484	
		192.580				0.258	-13.744	-268.999	0.0061	-0.328	-6.422	
		192.600	98.33	99.25	-0.92	-0.074	-17.907	-136.463	-0.0018	-0.428	-3.258	24.9
		192.620				-0.459	-19.203	4.909	-0.0110	-0.458	0.117	
		192.640				-0.842	-17.711	140.390	-0.0201	-0.423	3.352	
		192.650	97.93	99.25	-1.32							
		192.660				-1.167	-13.587	247.401	-0.0279	-0.324	5.906	
		192.680				-1.385	-7.815	306.306	-0.0331	-0.187	7.312	
		192.700	98.55	99.26	-0.71	-1.480	-1.335	327.904	-0.0353	-0.032	7.828	24.9
		192.720				-1.439	5.301	320.050	-0.0344	0.127	7.641	
		192.740				-1.268	11.467	272.926	-0.0303	0.274	6.516	
		192.750	99.53	99.25	0.28							
		192.760				-0.980	16.218	181.623	-0.0234	0.387	4.336	
		192.780				-0.619	18.732	60.868	-0.0148	0.447	1.453	
		192.800	100.59	99.25	1.34	-0.231	18.653	-76.576	-0.0055	0.445	-1.828	24.9
		192.820				0.127	15.669	-214.021	0.0030	0.374	-5.109	
		192.840				0.396	10.092	-316.123	0.0094	0.241	-7.547	
		192.850	99.77	99.25	0.52							
		192.860				0.531	3.024	-368.156	0.0127	0.072	-8.789	
		192.880				0.517	-4.634	-370.119	0.0123	-0.111	-8.836	
		192.900	98.90	99.25	-0.35	0.346	-11.781	-306.306	0.0082	-0.281	-7.312	24.9
		192.920				0.046	-16.886	-183.587	0.0011	-0.403	-4.383	
		192.940				-0.330	-19.124	-41.233	-0.0079	-0.457	-0.984	
		192.950	97.92	99.25	-1.33							
		192.960				-0.719	-18.535	98.175	-0.0172	-0.443	2.344	
		192.980				-1.071	-15.197	217.948	-0.0256	-0.363	5.203	
		193.000	98.06	99.25	-1.19	-1.327	-9.817	292.561	-0.0317	-0.234	6.984	24.9
		193.020				-1.464	-3.495	325.940	-0.0350	-0.083	7.781	
		193.040				-1.467	3.220	329.867	-0.0350	0.077	7.875	
		193.050	99.08	99.25	-0.17							
		193.060				-1.335	9.700	293.543	-0.0319	0.232	7.008	
		193.080				-1.079	14.962	212.058	-0.0258	0.357	5.062	
		193.100	99.95	99.25	0.70	-0.737	18.182	99.157	-0.0176	0.434	2.367	24.9
		193.120				-0.352	18.928	-33.379	-0.0084	0.452	-0.797	
		193.140				0.020	16.847	-170.824	4.8750E-4	0.402	-4.078	
		193.150	100.51	99.26	1.25							
		193.160				0.322	12.095	-285.689	0.0077	0.289	-6.820	
		193.180				0.504	5.419	-356.375	0.0120	0.129	-8.508	
		193.200	99.33	99.25	0.08	0.539	-2.160	-375.028	0.0129	-0.052	-8.953	24.9
		193.220				0.418	-9.582	-329.867	0.0100	-0.229	-7.875	
		193.240				0.156	-15.355	-226.784	0.0037	-0.367	-5.414	
		193.250	98.31	99.25	-0.94							
		193.260				-0.196	-18.653	-94.248	-0.0047	-0.445	-2.250	
		193.280				-0.591	-19.124	51.051	-0.0141	-0.457	1.219	
		193.300	97.88	99.25	-1.37	-0.961	-16.611	182.605	-0.0230	-0.397	4.359	24.9
		193.320				-1.255	-11.820	273.908	-0.0300	-0.282	6.539	
		193.340				-1.434	-5.655	322.013	-0.0342	-0.135	7.688	
		193.350	98.55	99.26	-0.70							
		193.360				-1.481	1.060	334.776	-0.0354	0.025	7.992	
		193.380				-1.392	7.736	310.233	-0.0332	0.185	7.406	
		193.400	99.26	99.25	0.01	-1.172	13.470	242.492	-0.0280	0.322	5.789	24.9
		193.420				-0.853	17.436	138.427	-0.0204	0.416	3.305	
		193.440				-0.474	19.007	9.817	-0.0113	0.454	0.234	
		193.450	100.60	99.25	1.35							
		193.460				-0.093	17.829	-128.609	-0.0022	0.426	-3.070	
		193.480				0.239	13.862	-256.236	0.0057	0.331	-6.117	
		193.500	100.15	99.25	0.90	0.462	7.579	-339.685	0.0110	0.181	-8.109	24.9
		193.520				0.542	0.275	-373.064	0.0129	0.007	-8.906	
		193.540				0.473	-7.343	-352.448	0.0113	-0.175	-8.414	
		193.550	98.88	99.25	-0.37							
		193.560				0.248	-13.823	-263.109	0.0059	-0.330	-6.281	
		193.580				-0.080	-17.868	-135.481	-0.0019	-0.427	-3.234	
		193.600	98.07	99.26	-1.19	-0.467	-19.242	6.872	-0.0111	-0.459	0.164	24.9
		193.620				-0.850	-17.593	144.317	-0.0203	-0.420	3.445	
		193.640				-1.170	-13.470	247.401	-0.0279	-0.322	5.906	
		193.650	98.08	99.25	-1.17							
		193.660				-1.389	-7.697	306.306	-0.0332	-0.184	7.313	
		193.680				-1.478	-1.217	329.867	-0.0353	-0.029	7.875	
		193.700	98.86	99.25	-0.39	-1.437	5.498	323.977	-0.0343	0.131	7.734	24.9
		193.720				-1.258	11.742	271.944	-0.0300	0.280	6.492	
		193.740				-0.968	16.376	176.715	-0.0231	0.391	4.219	
		193.750	99.98	99.25	0.73							
		193.760				-0.603	18.810	54.978	-0.0144	0.449	1.312	
		193.780				-0.215	18.575	-83.449	-0.0051	0.443	-1.992	
		193.800	100.67	99.26	1.41	0.140	15.472	-218.930	0.0033	0.369	-5.227	24.9
		193.820				0.404	9.817	-318.086	0.0096	0.234	-7.594	
		193.840				0.533	2.749	-368.156	0.0127	0.066	-8.789	
		193.850	99.31	99.25	0.06							
		193.860				0.514	-4.909	-368.156	0.0123	-0.117	-8.789	
		193.880				0.336	-11.977	-301.397	0.0080	-0.286	-7.195	
		193.900	98.56	99.25	-0.69	0.035	-16.965	-178.678	8.2500E-4	-0.405	-4.266	24.9
		193.920				-0.342	-19.124	-36.325	-0.0082	-0.457	-0.867	
		193.940				-0.730	-18.418	102.102	-0.0174	-0.440	2.438	
		193.950	97.87	99.25	-1.38							
		193.960				-1.079	-15.040	218.930	-0.0258	-0.359	5.227	
		193.980				-1.332	-9.660	292.561	-0.0318	-0.231	6.984	
		194.000	98.57	99.25	-0.68	-1.466	-3.338	326.922	-0.0350	-0.080	7.805	24.9
		194.020				-1.466	3.416	328.886	-0.0350	0.082	7.852	
		194.040				-1.329	9.817	291.579	-0.0317	0.234	6.961	
		194.050	99.27	99.25	0.02							
		194.060				-1.073	15.080	214.021	-0.0256	0.360	5.109	
		194.080				-0.726	18.378	98.175	-0.0173	0.439	2.344	
		194.100	100.61	99.25	1.36	-0.338	19.007	-40.252	-0.0081	0.454	-0.961	24.9
		194.120				0.035	16.768	-179.660	8.2500E-4	0.400	-4.289	
		194.140				0.333	11.820	-291.579	0.0079	0.282	-6.961	
		194.150	100.11	99.25	0.86							
		194.160				0.507	5.105	-359.320	0.0121	0.122	-8.578	
		194.180				0.537	-2.553	-377.973	0.0128	-0.061	-9.023	
		194.200	98.84	99.25	-0.41	0.405	-10.014	-328.886	0.0097	-0.239	-7.852	24.9
		194.220				0.137	-15.708	-218.930	0.0033	-0.375	-5.227	
		194.240				-0.223	-18.771	-80.503	-0.0053	-0.448	-1.922	
		194.250	98.07	99.26	-1.18							
		194.260				-0.614	-18.928	61.850	-0.0147	-0.452	1.477	
		194.280				-0.980	-16.297	186.532	-0.0234	-0.389	4.453	
		194.300	98.10	99.25	-1.16	-1.266	-11.467	272.926	-0.0302	-0.274	6.516	24.9
		194.320				-1.439	-5.380	318.086	-0.0344	-0.128	7.594	
		194.340				-1.481	1.257	329.867	-0.0354	0.030	7.875	
		194.350	98.88	99.26	-0.38							
		194.360				-1.389	7.815	305.324	-0.0332	0.187	7.289	
		194.380				-1.169	13.470	241.510	-0.0279	0.322	5.766	
		194.400	100.01	99.25	0.76	-0.850	17.475	139.408	-0.0203	0.417	3.328	24.9
		194.420				-0.470	19.046	6.872	-0.0112	0.455	0.164	
		194.440				-0.088	17.750	-130.573	-0.0021	0.424	-3.117	
		194.450	100.66	99.25	1.41							
		194.460				0.240	13.823	-255.255	0.0057	0.330	-6.094	
		194.480				0.465	7.540	-343.612	0.0111	0.180	-8.203	
		194.500	99.28	99.25	0.03	0.542	0.079	-376.010	0.0129	0.002	-8.977	24.9
		194.520				0.468	-7.501	-353.429	0.0112	-0.179	-8.438	
		194.540				0.242	-14.059	-265.072	0.0058	-0.336	-6.328	
		194.550	98.54	99.25	-0.71							
		194.560				-0.094	-18.103	-131.554	-0.0023	-0.432	-3.141	
		194.580				-0.482	-19.321	13.744	-0.0115	-0.461	0.328	
		194.600	97.88	99.25	-1.37	-0.867	-17.554	152.171	-0.0207	-0.419	3.633	24.9
		194.620				-1.184	-13.234	254.273	-0.0283	-0.316	6.070	
		194.640				-1.396	-7.383	308.269	-0.0333	-0.176	7.359	
		194.650	98.34	99.25	-0.91							
		194.660				-1.480	-0.903	327.904	-0.0353	-0.022	7.828	
		194.680				-1.433	5.733	319.068	-0.0342	0.137	7.617	
		194.700	99.30	99.25	0.04	-1.250	11.860	267.036	-0.0299	0.283	6.375	24.9
		194.720				-0.958	16.415	172.788	-0.0229	0.392	4.125	
		194.740				-0.594	18.771	52.033	-0.0142	0.448	1.242	
		194.750	100.35	99.25	1.10							
		194.760				-0.207	18.496	-85.412	-0.0050	0.442	-2.039	
		194.780				0.146	15.355	-219.912	0.0035	0.367	-5.250	
		194.800	100.10	99.25	0.85	0.407	9.700	-318.086	0.0097	0.232	-7.594	24.9
		194.820				0.534	2.631	-367.174	0.0127	0.063	-8.766	
		194.840				0.512	-4.987	-366.192	0.0122	-0.119	-8.742	
		194.850	99.05	99.25	-0.20							
		194.860				0.335	-12.017	-299.433	0.0080	-0.287	-7.148	
		194.880				0.031	-16.965	-179.660	7.5000E-4	-0.405	-4.289	
		194.900	98.05	99.25	-1.20	-0.344	-19.203	-37.306	-0.0082	-0.458	-0.891	24.9
		194.920				-0.737	-18.457	104.065	-0.0176	-0.441	2.484	
		194.940				-1.082	-15.040	220.893	-0.0258	-0.359	5.273	
		194.950	97.94	99.25	-1.31							
		194.960				-1.338	-9.621	296.488	-0.0320	-0.230	7.078	
		194.980				-1.467	-3.181	329.867	-0.0350	-0.076	7.875	
		195.000	98.90	99.25	-0.35	-1.466	3.574	328.886	-0.0350	0.085	7.852	24.9
		195.020				-1.324	9.975	288.634	-0.0316	0.238	6.891	
		195.040				-1.067	15.119	208.131	-0.0255	0.361	4.969	
		195.050	99.64	99.26	0.39							
		195.060				-0.719	18.300	95.230	-0.0172	0.437	2.273	
		195.080				-0.335	18.928	-39.270	-0.0080	0.452	-0.937	
		195.100	100.65	99.25	1.40	0.038	16.729	-178.678	9.0000E-4	0.399	-4.266	24.9
		195.120				0.335	11.781	-291.579	0.0080	0.281	-6.961	
		195.140				0.509	5.066	-359.320	0.0121	0.121	-8.578	
		195.150	99.65	99.26	0.39							
		195.160				0.537	-2.592	-375.028	0.0128	-0.062	-8.953	
		195.180				0.405	-9.935	-323.977	0.0097	-0.237	-7.734	
		195.200	98.53	99.25	-0.72	0.140	-15.551	-220.893	0.0033	-0.371	-5.273	24.9
		195.220				-0.217	-18.771	-86.394	-0.0052	-0.448	-2.062	
		195.240				-0.611	-19.007	59.887	-0.0146	-0.454	1.430	
		195.250	97.89	99.25	-1.36							
		195.260				-0.977	-16.376	187.514	-0.0233	-0.391	4.477	
		195.280				-1.266	-11.506	274.890	-0.0302	-0.275	6.562	
		195.300	98.33	99.25	-0.92	-1.437	-5.380	320.050	-0.0343	-0.128	7.641	24.9
		195.320				-1.481	1.296	333.794	-0.0354	0.031	7.969	
		195.340				-1.385	7.972	309.251	-0.0331	0.190	7.383	
		195.350	99.11	99.25	-0.14							
		195.360				-1.162	13.666	240.528	-0.0278	0.326	5.742	
		195.380				-0.839	17.593	136.463	-0.0200	0.420	3.258	
		195.400	100.40	99.25	1.15	-0.459	19.124	3.927	-0.0110	0.457	0.094	24.9
		195.420				-0.074	17.750	-139.408	-0.0018	0.424	-3.328	
