Zeit (s)	Winkel (rad)	Winkelgeschwindigkeit (rad/s)	Winkelbeschleunigung (rad/s²)	Position (m)	Geschwindigkeit (m/s)	Beschleunigung (m/s²)	Zeit (s)	Winkel (rad)	Winkelgeschwindigkeit (rad/s)	Winkelbeschleunigung (rad/s²)	Position (m)	Geschwindigkeit (m/s)	Beschleunigung (m/s²)	Zeit (s)	Winkel (rad)	Winkelgeschwindigkeit (rad/s)	Winkelbeschleunigung (rad/s²)	Position (m)	Geschwindigkeit (m/s)	Beschleunigung (m/s²)	Zeit (s)	Winkel (rad)	Winkelgeschwindigkeit (rad/s)	Winkelbeschleunigung (rad/s²)	Position (m)	Geschwindigkeit (m/s)	Beschleunigung (m/s²)	Zeit (s)	Winkel (rad)	Winkelgeschwindigkeit (rad/s)	Winkelbeschleunigung (rad/s²)	Position (m)	Geschwindigkeit (m/s)	Beschleunigung (m/s²)	Zeit (s)	Winkel (rad)	Winkelgeschwindigkeit (rad/s)	Winkelbeschleunigung (rad/s²)	Position (m)	Geschwindigkeit (m/s)	Beschleunigung (m/s²)	Zeit (s)	Winkel (rad)	Winkelgeschwindigkeit (rad/s)	Winkelbeschleunigung (rad/s²)	Position (m)	Geschwindigkeit (m/s)	Beschleunigung (m/s²)	Zeit (s)	Winkel (rad)	Winkelgeschwindigkeit (rad/s)	Winkelbeschleunigung (rad/s²)	Position (m)	Geschwindigkeit (m/s)	Beschleunigung (m/s²)	Zeit (s)	Winkel (rad)	Winkelgeschwindigkeit (rad/s)	Winkelbeschleunigung (rad/s²)	Position (m)	Geschwindigkeit (m/s)	Beschleunigung (m/s²)	Zeit (s)	Winkel (rad)	Winkelgeschwindigkeit (rad/s)	Winkelbeschleunigung (rad/s²)	Position (m)	Geschwindigkeit (m/s)	Beschleunigung (m/s²)	Zeit (s)	Winkel (rad)	Winkelgeschwindigkeit (rad/s)	Winkelbeschleunigung (rad/s²)	Position (m)	Geschwindigkeit (m/s)	Beschleunigung (m/s²)	Zeit (s)	Winkel (rad)	Winkelgeschwindigkeit (rad/s)	Winkelbeschleunigung (rad/s²)	Position (m)	Geschwindigkeit (m/s)	Beschleunigung (m/s²)	Zeit (s)	Winkel (rad)	Winkelgeschwindigkeit (rad/s)	Winkelbeschleunigung (rad/s²)	Position (m)	Geschwindigkeit (m/s)	Beschleunigung (m/s²)	Zeit (s)	Winkel (rad)	Winkelgeschwindigkeit (rad/s)	Winkelbeschleunigung (rad/s²)	Position (m)	Geschwindigkeit (m/s)	Beschleunigung (m/s²)	Zeit (s)	Winkel (rad)	Winkelgeschwindigkeit (rad/s)	Winkelbeschleunigung (rad/s²)	Position (m)	Geschwindigkeit (m/s)	Beschleunigung (m/s²)	Zeit (s)	Winkel (rad)	Winkelgeschwindigkeit (rad/s)	Winkelbeschleunigung (rad/s²)	Position (m)	Geschwindigkeit (m/s)	Beschleunigung (m/s²)	Zeit (s)	Winkel (rad)	Winkelgeschwindigkeit (rad/s)	Winkelbeschleunigung (rad/s²)	Position (m)	Geschwindigkeit (m/s)	Beschleunigung (m/s²)	Zeit (s)	Winkel (rad)	Winkelgeschwindigkeit (rad/s)	Winkelbeschleunigung (rad/s²)	Position (m)	Geschwindigkeit (m/s)	Beschleunigung (m/s²)	Zeit (s)	Winkel (rad)	Winkelgeschwindigkeit (rad/s)	Winkelbeschleunigung (rad/s²)	Position (m)	Geschwindigkeit (m/s)	Beschleunigung (m/s²)	Zeit (s)	Winkel (rad)	Winkelgeschwindigkeit (rad/s)	Winkelbeschleunigung (rad/s²)	Position (m)	Geschwindigkeit (m/s)	Beschleunigung (m/s²)
20,550	-2,350	-4,461	29,060	-0,0561	-0,107	0,694	20,550	2,721	7,775	-34,715	0,0650	0,186	-0,829	20,550	-2,108	-7,823	26,075	-0,0503	-0,187	0,623	20,550	1,200	-10,681	-12,252	0,0286	-0,255	-0,292	20,550	-4,106	2,717	44,768	-0,0980	0,065	1,069	20,550	3,310	-3,362	-38,170	0,0790	-0,080	-0,911	20,550	2,320	-8,419	-27,018	0,0554	-0,201	-0,645	20,550	2,958	7,289	-39,270	0,0706	0,174	-0,938	20,550	-2,598	5,623	27,018	-0,0620	0,134	0,645	20,550	-3,170	8,577	34,558	-0,0757	0,205	0,825	20,550	-1,440	0,188	16,965	-0,0344	0,004	0,405	20,550	1,082	0,628	-14,923	0,0258	0,015	-0,356	20,550	-0,773	-1,775	11,153	-0,0184	-0,042	0,266	20,550	-0,655	-1,759	10,681	-0,0156	-0,042	0,255	20,550	-1,308	4,540	12,095	-0,0312	0,108	0,289	20,550	1,316	-0,236	-17,122	0,0314	-0,006	-0,409	20,550	0,192	-4,273	1,492E-12	0,0046	-0,102	3,567E-14	20,550	1,654	1,602	-22,305	0,0395	0,038	-0,533	20,550	0,671	-4,335	-3,770	0,0160	-0,103	-0,090	20,550	-1,762	-5,875	24,976	-0,0421	-0,140	0,596
20,600	-2,537	-2,953	31,102	-0,0606	-0,070	0,743	20,600	3,066	5,922	-38,799	0,0732	0,141	-0,926	20,600	-2,466	-6,409	30,316	-0,0589	-0,153	0,724	20,600	0,650	-11,137	-5,655	0,0155	-0,266	-0,135	20,600	-3,914	4,885	41,626	-0,0934	0,117	0,994	20,600	3,094	-5,215	-35,657	0,0739	-0,124	-0,851	20,600	1,865	-9,645	-21,677	0,0445	-0,230	-0,517	20,600	3,274	5,231	-42,569	0,0781	0,125	-1,016	20,600	-2,282	6,880	22,934	-0,0545	0,164	0,547	20,600	-2,697	10,179	29,060	-0,0644	0,243	0,694	20,600	-1,409	0,990	14,765	-0,0336	0,024	0,352	20,600	1,095	-0,110	-13,823	0,0261	-0,003	-0,330	20,600	-0,848	-1,194	11,938	-0,0202	-0,028	0,285	20,600	-0,729	-1,194	11,467	-0,0174	-0,028	0,274	20,600	-1,065	5,074	8,954	-0,0254	0,121	0,214	20,600	1,282	-1,037	-14,923	0,0306	-0,025	-0,356	20,600	-0,022	-4,210	2,513	-5,2500E-4	-0,100	0,060	20,600	1,706	0,471	-21,677	0,0407	0,011	-0,517	20,600	0,449	-4,461	-1,100	0,0107	-0,106	-0,026	20,600	-2,023	-4,555	27,489	-0,0483	-0,109	0,656
20,650	-2,645	-1,351	31,887	-0,0631	-0,032	0,761	20,650	3,313	3,896	-41,469	0,0791	0,093	-0,990	20,650	-2,749	-4,791	33,615	-0,0656	-0,114	0,802	20,650	0,086	-11,247	1,257	0,0021	-0,268	0,030	20,650	-3,618	6,880	37,699	-0,0864	0,164	0,900	20,650	2,788	-6,927	-32,201	0,0666	-0,165	-0,769	20,650	1,356	-10,587	-15,551	0,0324	-0,253	-0,371	20,650	3,481	3,032	-44,611	0,0831	0,072	-1,065	20,650	-1,910	7,917	18,692	-0,0456	0,189	0,446	20,650	-2,152	11,483	22,619	-0,0514	0,274	0,540	20,650	-1,341	1,665	12,881	-0,0320	0,040	0,307	20,650	1,071	-0,754	-11,938	0,0256	-0,018	-0,285	20,650	-0,892	-0,581	11,781	-0,0213	-0,014	0,281	20,650	-0,774	-0,613	11,153	-0,0185	-0,015	0,266	20,650	-0,801	5,435	5,812	-0,0191	0,130	0,139	20,650	1,213	-1,728	-13,038	0,0289	-0,041	-0,311	20,650	-0,229	-4,021	5,184	-0,0055	-0,096	0,124	20,650	1,701	-0,565	-19,321	0,0406	-0,013	-0,461	20,650	0,225	-4,445	1,885	0,0054	-0,106	0,045	20,650	-2,218	-3,126	29,845	-0,0530	-0,075	0,712
20,700	-2,672	0,236	30,159	-0,0638	0,006	0,720	20,700	3,456	1,775	-42,254	0,0825	0,042	-1,009	20,700	-2,945	-3,047	35,500	-0,0703	-0,073	0,847	20,700	-0,474	-11,011	8,011	-0,0113	-0,263	0,191	20,700	-3,226	8,655	32,987	-0,0770	0,207	0,788	20,700	2,402	-8,435	-27,646	0,0573	-0,201	-0,660	20,700	0,806	-11,200	-8,796	0,0192	-0,267	-0,210	20,700	3,577	0,770	-44,454	0,0854	0,018	-1,061	20,700	-1,491	8,749	13,980	-0,0356	0,209	0,334	20,700	-1,549	12,441	15,237	-0,0370	0,297	0,364	20,700	-1,243	2,278	11,781	-0,0297	0,054	0,281	20,700	1,019	-1,304	-10,210	0,0243	-0,031	-0,244	20,700	-0,906	-0,016	10,524	-0,0216	-3,750E-4	0,251	20,700	-0,790	-0,079	9,896	-0,0189	-0,002	0,236	20,700	-0,522	5,655	2,356	-0,0124	0,135	0,056	20,700	1,109	-2,340	-11,467	0,0265	-0,056	-0,274	20,700	-0,424	-3,691	7,540	-0,0101	-0,088	0,180	20,700	1,649	-1,461	-17,279	0,0394	-0,035	-0,413	20,700	0,005	-4,273	4,555	1,1250E-4	-0,102	0,109	20,700	-2,336	-1,571	30,631	-0,0558	-0,038	0,731
20,750	-2,622	1,665	27,489	-0,0626	0,040	0,656	20,750	3,490	-0,330	-40,998	0,0833	-0,008	-0,979	20,750	-3,054	-1,241	35,814	-0,0729	-0,030	0,855	20,750	-1,015	-10,446	14,294	-0,0242	-0,249	0,341	20,750	-2,752	10,179	27,803	-0,0657	0,243	0,664	20,750	1,945	-9,692	-22,148	0,0464	-0,231	-0,529	20,750	0,236	-11,467	-2,042	0,0056	-0,274	-0,049	20,750	3,558	-1,414	-42,097	0,0849	-0,034	-1,005	20,750	-1,035	9,315	8,482	-0,0247	0,222	0,202	20,750	-0,908	13,006	7,540	-0,0217	0,311	0,180	20,750	-1,114	2,843	10,210	-0,0266	0,068	0,244	20,750	0,941	-1,775	-8,796	0,0225	-0,042	-0,210	20,750	-0,894	0,471	8,954	-0,0213	0,011	0,214	20,750	-0,782	0,377	8,325	-0,0187	0,009	0,199	20,750	-0,236	5,671	-1,257	-0,0056	0,135	-0,030	20,750	0,979	-2,875	-9,896	0,0234	-0,069	-0,236	20,750	-0,598	-3,267	9,425	-0,0143	-0,078	0,225	20,750	1,555	-2,293	-16,022	0,0371	-0,055	-0,382	20,750	-0,203	-3,990	6,754	-0,0048	-0,095	0,161	20,750	-2,375	-0,063	28,903	-0,0567	-0,002	0,690
20,800	-2,505	2,985	25,604	-0,0598	0,071	0,611	20,800	3,423	-2,325	-38,485	0,0817	-0,056	-0,919	20,800	-3,069	0,534	34,400	-0,0733	0,013	0,821	20,800	-1,519	-9,582	19,949	-0,0363	-0,229	0,476	20,800	-2,209	11,435	21,677	-0,0527	0,273	0,517	20,800	1,433	-10,650	-16,022	0,0342	-0,254	-0,382	20,800	-0,341	-11,404	5,027	-0,0081	-0,272	0,120	20,800	3,435	-3,440	-39,584	0,0820	-0,082	-0,945	20,800	-0,559	9,598	2,985	-0,0134	0,229	0,071	20,800	-0,248	13,195	-4,619E-12	-0,0059	0,315	-1,099E-13	20,800	-0,958	3,299	8,011	-0,0229	0,079	0,191	20,800	0,842	-2,183	-7,697	0,0201	-0,052	-0,184	20,800	-0,859	0,880	7,383	-0,0205	0,021	0,176	20,800	-0,752	0,754	6,754	-0,0180	0,018	0,161	20,800	0,046	5,529	-4,555	0,0011	0,132	-0,109	20,800	0,822	-3,330	-7,854	0,0196	-0,079	-0,187	20,800	-0,751	-2,749	11,467	-0,0179	-0,066	0,274	20,800	1,420	-3,063	-14,294	0,0339	-0,073	-0,341	20,800	-0,394	-3,597	9,268	-0,0094	-0,086	0,221	20,800	-2,342	1,319	26,704	-0,0559	0,031	0,637
20,850	-2,323	4,225	23,405	-0,0555	0,101	0,559	20,850	3,258	-4,178	-35,657	0,0778	-0,100	-0,851	20,850	-3,000	2,199	32,044	-0,0716	0,052	0,765	20,850	-1,973	-8,451	25,290	-0,0471	-0,202	0,604	20,850	-1,608	12,346	14,451	-0,0384	0,295	0,345	20,850	0,880	-11,294	-9,425	0,0210	-0,270	-0,225	20,850	-0,905	-10,964	11,624	-0,0216	-0,262	0,277	20,850	3,214	-5,372	-37,071	0,0767	-0,128	-0,885	20,850	-0,075	9,613	-2,670	-0,0018	0,229	-0,064	20,850	0,412	13,006	-7,540	0,0098	0,310	-0,180	20,850	-0,784	3,644	6,126	-0,0187	0,087	0,146	20,850	0,723	-2,545	-6,126	0,0172	-0,061	-0,146	20,850	-0,806	1,210	6,126	-0,0192	0,029	0,146	20,850	-0,707	1,052	5,812	-0,0169	0,025	0,139	20,850	0,317	5,215	-7,854	0,0076	0,124	-0,188	20,850	0,646	-3,660	-5,498	0,0154	-0,087	-0,131	20,850	-0,873	-2,121	13,038	-0,0208	-0,051	0,311	20,850	1,249	-3,723	-11,781	0,0298	-0,089	-0,281	20,850	-0,562	-3,063	11,624	-0,0134	-0,073	0,277	20,850	-2,243	2,608	24,819	-0,0536	0,062	0,592
20,900	-2,083	5,325	20,263	-0,0497	0,127	0,484	20,900	3,005	-5,890	-32,673	0,0717	-0,141	-0,780	20,900	-2,849	3,738	29,374	-0,0680	0,089	0,701	20,900	-2,364	-7,053	30,002	-0,0564	-0,168	0,716	20,900	-0,974	12,881	7,069	-0,0232	0,307	0,169	20,900	0,303	-11,592	-2,513	0,0072	-0,277	-0,060	20,900	-1,437	-10,242	17,593	-0,0343	-0,244	0,420	20,900	2,898	-7,147	-33,458	0,0692	-0,171	-0,799	20,900	0,402	9,331	-8,482	0,0096	0,223	-0,202	20,900	1,052	12,441	-15,551	0,0251	0,297	-0,371	20,900	-0,594	3,911	3,927	-0,0142	0,093	0,094	20,900	0,587	-2,796	-4,241	0,0140	-0,067	-0,101	20,900	-0,738	1,492	5,184	-0,0176	0,036	0,124	20,900	-0,647	1,335	5,027	-0,0154	0,032	0,120	20,900	0,567	4,744	-10,839	0,0135	0,113	-0,259	20,900	0,456	-3,880	-3,142	0,0109	-0,093	-0,075	20,900	-0,963	-1,445	13,980	-0,0230	-0,034	0,334	20,900	1,048	-4,241	-9,268	0,0250	-0,101	-0,221	20,900	-0,701	-2,435	13,038	-0,0167	-0,058	0,311	20,900	-2,081	3,801	22,462	-0,0497	0,091	0,536
20,950	-1,791	6,252	16,808	-0,0427	0,149	0,401	20,950	2,669	-7,446	-28,903	0,0637	-0,178	-0,690	20,950	-2,626	5,137	26,704	-0,0627	0,123	0,638	20,950	-2,678	-5,451	33,458	-0,0639	-0,130	0,799	20,950	-0,320	13,053	-0,471	-0,0076	0,312	-0,011	20,950	-0,280	-11,545	4,555	-0,0067	-0,276	0,109	20,950	-1,929	-9,205	23,562	-0,0460	-0,220	0,562	20,950	2,499	-8,718	-28,903	0,0597	-0,208	-0,690	20,950	0,858	8,765	-13,980	0,0205	0,209	-0,334	20,950	1,656	11,451	-22,934	0,0395	0,273	-0,547	20,950	-0,393	4,037	1,100	-0,0094	0,096	0,026	20,950	0,443	-2,969	-2,356	0,0106	-0,071	-0,056	20,950	-0,657	1,728	4,084	-0,0157	0,041	0,098	20,950	-0,573	1,555	3,927	-0,0137	0,037	0,094	20,950	0,792	4,131	-13,509	0,0189	0,099	-0,322	20,950	0,258	-3,974	-0,628	0,0061	-0,095	-0,015	20,950	-1,018	-0,723	13,980	-0,0243	-0,017	0,334	20,950	0,825	-4,650	-6,912	0,0197	-0,111	-0,165	20,950	-0,806	-1,759	14,137	-0,0192	-0,042	0,337	20,950	-1,863	4,854	19,478	-0,0445	0,116	0,465
21,000	-1,458	7,006	13,195	-0,0348	0,167	0,315	21,000	2,260	-8,781	-24,033	0,0540	-0,210	-0,574	21,000	-2,336	6,409	23,405	-0,0558	0,153	0,559	21,000	-2,909	-3,707	35,971	-0,0695	-0,089	0,859	21,000	0,331	12,833	-8,168	0,0079	0,306	-0,195	21,000	-0,851	-11,137	11,153	-0,0203	-0,266	0,266	21,000	-2,358	-7,885	28,431	-0,0563	-0,188	0,679	21,000	2,026	-10,037	-23,248	0,0484	-0,240	-0,555	21,000	1,279	7,933	-18,850	0,0305	0,189	-0,450	21,000	2,198	10,147	-28,903	0,0525	0,242	-0,690	21,000	-0,190	4,021	-1,414	-0,0045	0,096	-0,034	21,000	0,291	-3,032	-0,314	0,0069	-0,072	-0,008	21,000	-0,565	1,901	2,985	-0,0135	0,045	0,071	21,000	-0,492	1,728	3,142	-0,0117	0,041	0,075	21,000	0,980	3,393	-15,551	0,0234	0,081	-0,371	21,000	0,058	-3,943	1,885	0,0014	-0,094	0,045	21,000	-1,035	-0,047	12,252	-0,0247	-0,001	0,292	21,000	0,583	-4,932	-3,770	0,0139	-0,118	-0,090	21,000	-0,877	-1,021	14,608	-0,0209	-0,024	0,349	21,000	-1,596	5,749	16,336	-0,0381	0,137	0,390
21,050	-1,090	7,571	8,954	-0,0260	0,181	0,214	21,050	1,791	-9,849	-18,378	0,0428	-0,235	-0,439	21,050	-1,985	7,477	19,164	-0,0474	0,178	0,457	21,050	-3,049	-1,854	37,071	-0,0728	-0,044	0,885	21,050	0,963	12,237	-15,865	0,0230	0,292	-0,379	21,050	-1,393	-10,430	17,279	-0,0333	-0,249	0,413	21,050	-2,717	-6,362	32,673	-0,0649	-0,152	0,780	21,050	1,495	-11,043	-16,808	0,0357	-0,264	-0,401	21,050	1,651	6,880	-23,248	0,0394	0,164	-0,555	21,050	2,670	8,561	-34,715	0,0637	0,204	-0,829	21,050	0,009	3,896	-3,770	2,2500E-4	0,093	-0,090	21,050	0,140	-3,000	1,414	0,0033	-0,072	0,034	21,050	-0,467	2,026	1,728	-0,0111	0,048	0,041	21,050	-0,401	1,869	2,042	-0,0096	0,045	0,049	21,050	1,131	2,576	-17,279	0,0270	0,061	-0,413	21,050	-0,137	-3,786	4,241	-0,0033	-0,090	0,101	21,050	-1,023	0,503	10,053	-0,0244	0,012	0,240	21,050	0,331	-5,027	-0,157	0,0079	-0,120	-0,004	21,050	-0,908	-0,298	13,509	-0,0217	-0,007	0,322	21,050	-1,288	6,487	12,723	-0,0308	0,155	0,304
21,100	-0,701	7,901	4,241	-0,0167	0,189	0,101	21,100	1,275	-10,619	-12,409	0,0305	-0,253	-0,296	21,100	-1,588	8,325	14,608	-0,0379	0,199	0,349	21,100	-3,094	0,000	36,128	-0,0739	0,000	0,862	21,100	1,555	11,247	-22,934	0,0371	0,268	-0,547	21,100	-1,894	-9,409	23,405	-0,0452	-0,225	0,559	21,100	-2,994	-4,618	35,814	-0,0715	-0,110	0,855	21,100	0,922	-11,718	-9,896	0,0220	-0,280	-0,236	21,100	1,967	5,608	-27,332	0,0469	0,134	-0,652	21,100	3,054	6,676	-39,113	0,0729	0,159	-0,934	21,100	0,199	3,644	-6,126	0,0048	0,087	-0,146	21,100	-0,009	-2,890	3,142	-2,2500E-4	-0,069	0,075	21,100	-0,363	2,073	0,314	-0,0087	0,049	0,007	21,100	-0,305	1,932	0,628	-0,0073	0,046	0,015	21,100	1,238	1,665	-18,378	0,0296	0,040	-0,439	21,100	-0,320	-3,519	6,283	-0,0077	-0,084	0,150	21,100	-0,985	0,958	8,639	-0,0235	0,023	0,206	21,100	0,080	-4,948	2,827	0,0019	-0,118	0,067	21,100	-0,906	0,330	11,467	-0,0216	0,008	0,274	21,100	-0,947	7,021	8,639	-0,0226	0,168	0,206
21,150	-0,300	7,995	-0,471	-0,0072	0,191	-0,011	21,150	0,729	-11,090	-5,969	0,0174	-0,265	-0,143	21,150	-1,153	8,938	9,582	-0,0275	0,213	0,229	21,150	-3,049	1,759	33,615	-0,0728	0,042	0,803	21,150	2,088	9,943	-29,060	0,0498	0,237	-0,694	21,150	-2,334	-8,090	28,589	-0,0557	-0,193	0,682	21,150	-3,179	-2,780	37,542	-0,0759	-0,066	0,896	21,150	0,324	-12,032	-2,827	0,0077	-0,287	-0,068	21,150	2,212	4,147	-30,159	0,0528	0,099	-0,720	21,150	3,338	4,650	-41,940	0,0797	0,111	-1,001	21,150	0,374	3,283	-8,011	0,0089	0,078	-0,191	21,150	-0,149	-2,686	4,712	-0,0036	-0,064	0,112	21,150	-0,259	2,058	-0,785	-0,0062	0,049	-0,019	21,150	-0,207	1,932	-0,628	-0,0049	0,046	-0,015	21,150	1,297	0,738	-18,221	0,0310	0,018	-0,435	21,150	-0,489	-3,157	8,168	-0,0117	-0,075	0,195	21,150	-0,927	1,367	7,697	-0,0221	0,033	0,184	21,150	-0,163	-4,744	5,341	-0,0039	-0,113	0,127	21,150	-0,875	0,848	9,739	-0,0209	0,020	0,233	21,150	-0,586	7,351	4,398	-0,0140	0,175	0,105
21,200	0,099	7,854	-5,027	0,0024	0,188	-0,120	21,200	0,167	-11,215	0,785	0,0040	-0,268	0,019	21,200	-0,694	9,283	4,241	-0,0166	0,222	0,101	21,200	-2,919	3,362	30,788	-0,0697	0,080	0,735	21,200	2,549	8,341	-34,558	0,0609	0,199	-0,825	21,200	-2,703	-6,550	32,830	-0,0645	-0,156	0,784	21,200	-3,272	-0,864	37,542	-0,0781	-0,021	0,896	21,200	-0,281	-12,001	4,241	-0,0067	-0,287	0,101	21,200	2,381	2,592	-31,730	0,0568	0,062	-0,757	21,200	3,519	2,482	-43,511	0,0840	0,059	-1,039	21,200	0,528	2,843	-9,739	0,0126	0,068	-0,232	21,200	-0,278	-2,419	6,283	-0,0066	-0,058	0,150	21,200	-0,157	1,995	-2,042	-0,0037	0,048	-0,049	21,200	-0,112	1,869	-1,885	-0,0027	0,045	-0,045	21,200	1,312	-0,157	-16,650	0,0313	-0,004	-0,398	21,200	-0,636	-2,702	10,053	-0,0152	-0,065	0,240	21,200	-0,848	1,728	6,597	-0,0202	0,041	0,158	21,200	-0,394	-4,414	8,168	-0,0094	-0,105	0,195	21,200	-0,822	1,304	8,482	-0,0196	0,031	0,203	21,200	-0,212	7,461	-0,314	-0,0051	0,178	-0,007
21,250	0,485	7,493	-9,425	0,0116	0,179	-0,225	21,250	-0,393	-11,011	7,540	-0,0094	-0,263	0,180	21,250	-0,225	9,362	-1,100	-0,0054	0,224	-0,026	21,250	-2,713	4,838	28,117	-0,0648	0,116	0,671	21,250	2,922	6,487	-38,799	0,0698	0,155	-0,926	21,250	-2,989	-4,807	36,128	-0,0714	-0,115	0,863	21,250	-3,266	0,974	35,343	-0,0780	0,023	0,844	21,250	-0,877	-11,608	11,310	-0,0209	-0,277	0,270	21,250	2,471	0,974	-31,573	0,0590	0,023	-0,754	21,250	3,586	0,298	-42,412	0,0856	0,007	-1,012	21,250	0,658	2,309	-11,467	0,0157	0,055	-0,274	21,250	-0,391	-2,058	7,697	-0,0093	-0,049	0,184	21,250	-0,060	1,854	-3,456	-0,0014	0,044	-0,082	21,250	-0,020	1,744	-2,985	-4,8750E-4	0,042	-0,071	21,250	1,282	-0,927	-14,294	0,0306	-0,022	-0,341	21,250	-0,759	-2,152	11,624	-0,0181	-0,051	0,278	21,250	-0,754	2,026	5,655	-0,0180	0,048	0,135	21,250	-0,605	-3,927	10,839	-0,0144	-0,094	0,259	21,250	-0,745	1,696	7,226	-0,0178	0,041	0,172	21,250	0,160	7,320	-4,869	0,0038	0,175	-0,116
21,300	0,848	6,912	-13,823	0,0203	0,165	-0,330	21,300	-0,935	-10,462	14,137	-0,0223	-0,250	0,338	21,300	0,242	9,173	-6,440	0,0058	0,219	-0,154	21,300	-2,435	6,173	25,133	-0,0581	0,147	0,600	21,300	3,198	4,461	-41,940	0,0764	0,107	-1,001	21,300	-3,184	-2,937	38,170	-0,0760	-0,070	0,911	21,300	-3,175	2,670	32,987	-0,0758	0,064	0,787	21,300	-1,442	-10,870	18,064	-0,0344	-0,259	0,431	21,300	2,479	-0,565	-29,531	0,0592	-0,013	-0,705	21,300	3,548	-1,759	-40,055	0,0847	-0,042	-0,956	21,300	0,759	1,696	-12,566	0,0181	0,040	-0,300	21,300	-0,484	-1,649	8,796	-0,0116	-0,039	0,210	21,300	0,028	1,649	-4,555	6,7500E-4	0,039	-0,109	21,300	0,063	1,571	-3,927	0,0015	0,038	-0,094	21,300	1,219	-1,587	-12,881	0,0291	-0,038	-0,307	21,300	-0,851	-1,539	12,409	-0,0203	-0,037	0,296	21,300	-0,646	2,293	4,241	-0,0154	0,055	0,101	21,300	-0,787	-3,330	12,881	-0,0188	-0,079	0,308	21,300	-0,652	2,026	6,283	-0,0156	0,048	0,150	21,300	0,520	6,974	-9,111	0,0124	0,166	-0,218
21,350	1,177	6,110	-17,750	0,0281	0,146	-0,424	21,350	-1,439	-9,598	19,635	-0,0343	-0,229	0,469	21,350	0,693	8,718	-11,938	0,0165	0,208	-0,285	21,350	-2,095	7,351	21,520	-0,0500	0,175	0,514	21,350	3,368	2,293	-43,197	0,0804	0,055	-1,031	21,350	-3,283	-0,990	38,170	-0,0784	-0,024	0,911	21,350	-2,999	4,273	30,631	-0,0716	0,102	0,731	21,350	-1,963	-9,802	24,190	-0,0469	-0,234	0,577	21,350	2,414	-1,979	-27,489	0,0576	-0,047	-0,656	21,350	3,410	-3,707	-37,699	0,0814	-0,088	-0,900	21,350	0,828	1,052	-12,881	0,0198	0,025	-0,307	21,350	-0,556	-1,178	9,739	-0,0133	-0,028	0,232	21,350	0,105	1,398	-5,498	0,0025	0,033	-0,131	21,350	0,137	1,351	-4,869	0,0033	0,032	-0,116	21,350	1,123	-2,215	-11,624	0,0268	-0,053	-0,277	21,350	-0,913	-0,911	12,723	-0,0218	-0,022	0,304	21,350	-0,525	2,450	2,513	-0,0125	0,058	0,060	21,350	-0,938	-2,639	14,765	-0,0224	-0,063	0,352	21,350	-0,542	2,325	5,027	-0,0129	0,055	0,120	21,350	0,858	6,409	-13,195	0,0205	0,153	-0,315
21,400	1,459	5,137	-20,735	0,0348	0,123	-0,495	21,400	-1,894	-8,498	24,819	-0,0452	-0,203	0,592	21,400	1,114	7,980	-17,122	0,0266	0,190	-0,409	21,400	-1,700	8,325	16,808	-0,0406	0,199	0,401	21,400	3,427	0,141	-42,097	0,0818	0,003	-1,005	21,400	-3,283	0,880	35,814	-0,0784	0,021	0,855	21,400	-2,747	5,733	27,803	-0,0656	0,137	0,664	21,400	-2,422	-8,451	29,374	-0,0578	-0,202	0,701	21,400	2,281	-3,314	-25,604	0,0544	-0,079	-0,611	21,400	3,178	-5,529	-34,872	0,0759	-0,132	-0,833	21,400	0,864	0,408	-12,409	0,0206	0,010	-0,296	21,400	-0,602	-0,675	9,739	-0,0144	-0,016	0,232	21,400	0,168	1,100	-6,283	0,0040	0,026	-0,150	21,400	0,198	1,084	-5,498	0,0047	0,026	-0,131	21,400	0,997	-2,749	-9,896	0,0238	-0,066	-0,236	21,400	-0,942	-0,267	12,095	-0,0225	-0,006	0,289	21,400	-0,401	2,545	1,100	-0,0096	0,061	0,026	21,400	-1,051	-1,854	16,336	-0,0251	-0,044	0,390	21,400	-0,419	2,529	3,299	-0,0100	0,060	0,079	21,400	1,161	5,655	-16,808	0,0277	0,135	-0,401
